triage_order,identity_key,evidence_id,description,kcal_per_100g,vote_split,tokens_present,form_hint,disposition,reason
0,beef|grilled,usda:169243,"Mushrooms, portabella, grilled",29.0,DIFFER=10,False,,,
0,tilapia|roasted,usda:167634,"Mutton, cooked, roasted (Navajo)",234,DIFFER=10,False,,,
0,tilapia|roasted,usda:170686,"Buckwheat groats, roasted, cooked",92.0,DIFFER=10,False,,,
1,banana|,usda:167732,"Babyfood, banana no tapioca, strained",91.0,DIFFER=10,True,babyfood,,
1,beef|,usda:172012,"Bologna, beef",299,DIFFER=10,True,bologna,,
1,beef|,usda:172935,"Salami, cooked, beef",261,DIFFER=10,True,salami,,
1,beef|,usda:172936,"Salami, cooked, beef and pork",336,DIFFER=10,True,salami,,
1,beef|,usda:174579,"Sausage, pork and beef, fresh, cooked",396,DIFFER=10,True,sausage,,
1,beef|,usda:174618,"Sausage, beef, fresh, cooked",332,DIFFER=10,True,sausage,,
1,beef|grilled,usda:172935,"Salami, cooked, beef",261,DIFFER=10,True,salami,,
1,chicken|fried,usda:169842,"CRACKER BARREL, chicken tenderloin platter, fried",293,DIFFER=10,True,platter,,
2,beef|,usda:173086,"Beef, New Zealand, imported, manufacturing beef, raw",119,DIFFER=6 SAME_I=4,True,,,
2,butter|,usda:173410,"Butter, salted",717,SAME_I=10,True,,,
2,butter|,usda:173411,"Butter, whipped, with salt",731,SAME_I=10,True,,,
2,cauliflower|,usda:169389,"Cauliflower, green, raw",31.0,DIFFER=1 SAME_I=9,True,,,
2,cauliflower|,usda:169390,"Cauliflower, green, cooked, no salt added",32.0,DIFFER=9 SAME_I=1,True,,,
2,cauliflower|,usda:169391,"Cauliflower, green, cooked, with salt",32.0,DIFFER=9 SAME_I=1,True,,,
2,chicken|fried,usda:170350,"POPEYES, Fried Chicken, Mild, Skin and Breading",433,DIFFER=10,True,,,
2,chicken|roasted,usda:173646,"Chicken, capons, meat and skin, cooked, roasted",229,DIFFER=9 SAME_I=1,True,,,
2,coconut oil|,usda:171412,"Oil, coconut",892,SAME_I=10,True,,,
2,coconut oil|,usda:330458,"Oil, coconut",833,SAME_I=10,True,,,
2,egg|,usda:172185,"Egg, whole, cooked, omelet",154,DIFFER=9 SAME_I=1,True,,,
2,egg|,usda:172187,"Egg, whole, cooked, scrambled",149,DIFFER=1 SAME_I=9,True,,,
2,egg|,usda:172673,"Bread, egg",287,DIFFER=10,True,,,
2,egg|,usda:172674,"Bread, egg, toasted",315,DIFFER=10,True,,,
2,egg|,usda:172741,"Crackers, matzo, egg",391,DIFFER=10,True,,,
2,egg|,usda:174901,"Bagels, egg",278,DIFFER=10,True,,,
2,mackerel|,usda:168149,"Fish, mackerel, salted",305,SAME_I=10,True,,,
2,mackerel|roasted,usda:175120,"Fish, mackerel, Atlantic, cooked, dry heat",262,DIFFER=2 SAME_I=8,True,,,
2,mayonnaise|,usda:171009,"Salad dressing, mayonnaise, regular",680,SAME_I=10,True,,,
2,mayonnaise|,usda:171443,"Mayonnaise, reduced fat, with olive oil",361,DIFFER=6 SAME_I=4,True,,,
2,mayonnaise|,usda:173594,"Salad dressing, mayonnaise, light",238,DIFFER=5 SAME_I=5,True,,,
2,mushrooms|grilled,usda:169377,"Mushrooms, portabella, exposed to ultraviolet light, grilled",29.0,DIFFER=3 SAME_I=7,True,,,
2,olive oil|,usda:171413,"Oil, olive, salad or cooking",884,SAME_I=10,True,,,
2,potato|,usda:167943,"Bread, potato",266,DIFFER=10,True,,,
2,potato|,usda:168446,Potato flour,357,DIFFER=10,True,,,
2,potato|,usda:168484,"Sweet potato, cooked, boiled, without skin",76.0,DIFFER=10,True,,,
2,potato|,usda:168854,"Snacks, potato sticks",522,DIFFER=10,True,,,
2,potato|,usda:170088,"Sweet potato, cooked, candied, home-prepared",164,DIFFER=10,True,,,
2,potato|,usda:170092,Potato pancakes,268,DIFFER=10,True,,,
2,potato|,usda:170115,"Potatoes, microwaved, cooked, in skin, skin with salt",132,DIFFER=1 SAME_I=9,True,,,
2,potato|,usda:170133,"Sweet potato leaves, cooked, steamed, with salt",35.0,DIFFER=10,True,,,
2,potato|,usda:173343,Potato salad with egg,157,DIFFER=10,True,,,
2,potato|fried,usda:169764,"Potatoes, yellow fleshed, french fried, frozen, unprepared",162,DIFFER=8 SAME_I=2,True,,,
2,rice|,usda:168897,"Wild rice, cooked",101,DIFFER=10,True,,,
2,rice|,usda:168914,"Rice noodles, cooked",108,DIFFER=10,True,,,
2,rice|,usda:173161,Rice crackers,416,DIFFER=10,True,,,
2,salmon|,usda:172343,"Fish oil, salmon",902,DIFFER=10,True,,,
2,salmon|,usda:173687,"Fish, salmon, chinook, smoked",117,SAME_I=10,True,,,
2,salmon|grilled,usda:171999,"Fish, salmon, chinook, cooked, dry heat",231,DIFFER=8 SAME_I=2,True,,,
2,salmon|roasted,usda:171999,"Fish, salmon, chinook, cooked, dry heat",231,DIFFER=9 SAME_I=1,True,,,
2,salmon|roasted,usda:172000,"Fish, salmon, chum, cooked, dry heat",154,DIFFER=9 SAME_I=1,True,,,
2,salmon|roasted,usda:172001,"Fish, salmon, pink, cooked, dry heat",153,DIFFER=9 SAME_I=1,True,,,
2,salmon|roasted,usda:173692,"Fish, salmon, sockeye, cooked, dry heat",156,DIFFER=8 SAME_I=2,True,,,
2,salmon|roasted,usda:175168,"Fish, salmon, Atlantic, farmed, cooked, dry heat",206,DIFFER=9 SAME_I=1,True,,,
2,shrimp|,usda:171970,"Crustaceans, shrimp, mixed species, cooked, breaded and fried",242,DIFFER=1 SAME_I=9,True,,,
2,shrimp|,usda:171971,"Crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture)",119,SAME_I=10,True,,,
2,shrimp|fried,usda:171970,"Crustaceans, shrimp, mixed species, cooked, breaded and fried",242,SAME_I=10,True,,,
2,shrimp|fried,usda:172037,"Fast foods, shrimp, breaded and fried",308,DIFFER=9 SAME_I=1,True,,,
2,tilapia|roasted,usda:175177,"Fish, tilapia, cooked, dry heat",128,DIFFER=7 SAME_I=3,True,,,
2,vegetable oil|,usda:171422,"Vegetable oil, palm kernel",862,SAME_I=10,True,,,
2,vegetable oil|,usda:172370,"Oil, vegetable, soybean, refined",884,SAME_I=10,True,,,
