identity_key,evidence_id,description,kcal_per_100g,protein_per_100g,production_present,vote_split,mechanically_vetoed,coverage_state,source,is_current_winner,winner_now,winner_if_removed,price_delta_if_removed,frontier_reason,disposition,reason
beef|roasted,usda:173089,"Beef, New Zealand, imported, ribs prepared, cooked, fast roasted",197,27.2,True,DIFFER=2 SAME_I=8,False,covered,unstable_or_proposed,True,173089,,,,,
beef|,usda:170198,"Beef, cured, breakfast strips, cooked",449,31.3,False,DIFFER=10,False,covered,frontier_escalation,False,174730,174730,0,would_win_after_1_candidate_removal,,
beef|,usda:170199,"Beef, cured, corned beef, brisket, raw",198,14.7,False,DIFFER=10,False,covered,frontier_escalation,False,174730,174730,0,would_win_after_1_candidate_removal,,
beef|roasted,usda:172935,"Salami, cooked, beef",261,12.6,False,DIFFER=10,False,covered,frontier_escalation,False,173089,173089,0,would_win_after_1_candidate_removal,,
beef|roasted,usda:174597,Roast beef spread,223,15.3,False,DIFFER=10,False,covered,frontier_escalation,False,173089,173089,0,would_win_after_1_candidate_removal,,
chicken|fried,usda:170343,"KFC, Fried Chicken, EXTRA CRISPY, Skin and Breading",464,11.0,False,DIFFER=10,False,covered,frontier_escalation,False,171053,171053,0,would_win_after_1_candidate_removal,,
chicken|fried,usda:170738,"KFC, Fried Chicken, ORIGINAL RECIPE, Skin and Breading",384,14.2,False,DIFFER=10,False,covered,frontier_escalation,False,171053,171053,0,would_win_after_1_candidate_removal,,
chicken|grilled,usda:169243,"Mushrooms, portabella, grilled",29.0,3.28,False,DIFFER=10,False,covered,frontier_escalation,False,171534,171534,0,would_win_after_1_candidate_removal,,
chicken|grilled,usda:172957,"Bratwurst, chicken, cooked",176,19.4,False,DIFFER=10,False,covered,frontier_escalation,False,171534,171534,0,would_win_after_1_candidate_removal,,
egg|fried,usda:168199,"Plantains, green, fried",309,1.5,False,DIFFER=10,False,covered,frontier_escalation,False,173423,173423,0,would_win_after_1_candidate_removal,,
egg|fried,usda:169732,"Noodles, egg, enriched, cooked",138,4.54,False,DIFFER=10,False,covered,frontier_escalation,False,173423,173423,0,would_win_after_1_candidate_removal,,
