identity,mode,fdc_id,status,signed,kcal,protein,modes_agree,description
asparagus|,V2_OFF,168389,exact,UNREVIEWED,20.0,2.2,True,"Asparagus, raw"
asparagus|,V2_ON,168389,exact,UNREVIEWED,20.0,2.2,True,"Asparagus, raw"
banana|,V2_OFF,173944,exact,UNREVIEWED,89.0,1.09,True,"Bananas, raw"
banana|,V2_ON,173944,exact,UNREVIEWED,89.0,1.09,True,"Bananas, raw"
beef|,V2_OFF,174730,likely,UNREVIEWED,126,24.2,True,"Beef, New Zealand, imported, manufacturing beef, cooked, boiled"
beef|,V2_ON,174730,likely,UNREVIEWED,126,24.2,True,"Beef, New Zealand, imported, manufacturing beef, cooked, boiled"
beef|fried,V2_OFF,173085,likely,UNREVIEWED,178,27.5,False,"Beef, New Zealand, imported, knuckle, cooked, fast fried"
beef|fried,V2_ON,174751,likely,UNREVIEWED,301,24.9,False,"Beef, New Zealand, imported, striploin, separable lean and fat, cooked, fast fried"
beef|grilled,V2_OFF,174702,likely,UNREVIEWED,208,28.4,False,"Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled"
beef|grilled,V2_ON,171785,likely,UNREVIEWED,186,28.2,False,"Beef, shoulder steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled"
beef|roasted,V2_OFF,173089,likely,ADMIT,197,27.2,False,"Beef, New Zealand, imported, ribs prepared, cooked, fast roasted"
beef|roasted,V2_ON,171215,likely,UNREVIEWED,241,24.5,False,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted"
broccoli|,V2_OFF,747447,exact,UNREVIEWED,31.0,2.57,True,"Broccoli, raw"
broccoli|,V2_ON,747447,exact,UNREVIEWED,31.0,2.57,True,"Broccoli, raw"
cauliflower|,V2_OFF,169986,exact,UNREVIEWED,25.0,1.92,True,"Cauliflower, raw"
cauliflower|,V2_ON,169986,exact,UNREVIEWED,25.0,1.92,True,"Cauliflower, raw"
chicken|fried,V2_OFF,171053,likely,UNREVIEWED,219,30.6,False,"Chicken, broilers or fryers, meat only, cooked, fried"
chicken|fried,V2_ON,171448,likely,UNREVIEWED,289,22.5,False,"Chicken, broilers or fryers, meat and skin, cooked, fried, batter"
chicken|grilled,V2_OFF,171534,likely,UNREVIEWED,151,30.5,True,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, grilled"
chicken|grilled,V2_ON,171534,likely,UNREVIEWED,151,30.5,True,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, grilled"
chicken|roasted,V2_OFF,172395,likely,UNREVIEWED,167,25.0,False,"Chicken, roasting, meat only, cooked, roasted"
chicken|roasted,V2_ON,173635,likely,UNREVIEWED,223,24.0,False,"Chicken, roasting, meat and skin, cooked, roasted"
egg|,V2_OFF,172186,likely,UNREVIEWED,143,12.5,True,"Egg, whole, cooked, poached"
egg|,V2_ON,172186,likely,UNREVIEWED,143,12.5,True,"Egg, whole, cooked, poached"
egg|fried,V2_OFF,173423,likely,UNREVIEWED,196,13.6,True,"Egg, whole, cooked, fried"
egg|fried,V2_ON,173423,likely,UNREVIEWED,196,13.6,True,"Egg, whole, cooked, fried"
mackerel|,V2_OFF,175119,likely,UNREVIEWED,205,18.6,True,"Fish, mackerel, Atlantic, raw"
mackerel|,V2_ON,175119,likely,UNREVIEWED,205,18.6,True,"Fish, mackerel, Atlantic, raw"
mackerel|roasted,V2_OFF,,NO WINNER,,,,True,
mackerel|roasted,V2_ON,175120,estimated,ADMIT,262,23.8,True,"Fish, mackerel, Atlantic, cooked, dry heat"
mushrooms|,V2_OFF,170097,likely,UNREVIEWED,56.0,1.56,True,"Mushrooms, shiitake, cooked, with salt"
mushrooms|,V2_ON,170097,likely,UNREVIEWED,56.0,1.56,True,"Mushrooms, shiitake, cooked, with salt"
mushrooms|grilled,V2_OFF,169243,likely,UNREVIEWED,29.0,3.28,True,"Mushrooms, portabella, grilled"
mushrooms|grilled,V2_ON,169243,likely,UNREVIEWED,29.0,3.28,True,"Mushrooms, portabella, grilled"
oats|,V2_OFF,,NO WINNER,,,,True,
